D,[t] troubleshooting ad-500 and ad-600 no picture scrolling b/w" 
E,sound quality[+]battery life[+]price[+],"our special friends at creative gave this thing good sound quality  great features  long battery life  and an unbeatable price" 
E,player[-][p],"the catch is it 's built like a piece of crap" 
E,headphone jack[-],"i did n't abuse it  i charged it every day  but the headphone jack just sort of fizzled out" 
E,player[+],"i bought the player this week and i like it by far" 
E,battery[+],"removable and cheap battery - a li battery usually works properly for 1- years" 
E,value[+],"value , comparing data storage with price" 
E,appearance[+],"the appearance is okayed ( at least not ugly )" 
E,size[+],"the size is small ( just a little bit bigger than an i-pod" ) 
E,use[+],"easy to use , a lot of reviews has mentioned about this 
E,mediasource[-],"the software  mediasource  cannot work on my pc" ( laptop  intel p4-.0  xp os )" 
E,software[-],"in fact  each of my creative mp3 players had software problem in the first place" 
E,size[+]value[+]design[+]software[-],"in short  this player is good at size  value  hardware design but really bad at its software 
E,display[+],"the display is awesome  you can see everything you want and read it clearly 
E,storage[+],"huge storage space  i loaded my entire collection of music  which isnt that much  400 songs  and still have 26 gb  out of the 28 provided to you" 
E,sound[+],"the sound is awesome  but if u put it too loud  depends on yoursound quality  the sound might crack" 
E,eax[+],"with eax on  you can modify your sound  with 4 different presets  which is pretty good  you can get different variations with it" 
E,software[+],"if you use software correctly  put in all the id3 tags  you will get an awesome database collection  from which you can easily access your songs" 
E,software[+],"i dont know what other people are saying  but the software is awesome" 
E,battery[+],"battery recharge  is an awesome thing  because it recharges in only like 2- hours" 
E,player[+],"when you turn on your player  the player turns on really fast  and the music continues to play  as you left it when you were turning it off" 
E,manage[+],"you can manage your profile  change the contrast of backlight  make different type of display  either list or tabbed" 
E,interface[+],"you can do other different things with it such as choose what kind of " now playing " interface  you can see the interface as modern or classical" 
E,alarm[+],"there is an alarm  i still havent used it yet  but it should be good" 
E,clock[+],"there is a clock  and date  which can get helpful" 
E,firmware[+],"the player has firmware  which will remove the glitches  if there are any" 
E,music[+],"the music plays awesome  never skips  even if u run for a bit  so you can listen to music without interruption" 
E,battery life[-],"the one and most major thing that i was dissapointed with  in this player  is the battery life" 
E,panel[-],"the panel seems like it will come off very easily as other people have said" 
E,transfer[-],"you need the software to actually transfer files 
E,player[-],"the player has its minor glitches like for example when i turn it on  60 percent of the time  it sais  shutting down  which means i have to turn off  and turn it on again  which is not to my likings" 
E,lock up[-][u],"also  the player sometimes freezes  not a very big problem  but can also be annoying" 
E,price[+],"and also  it 's priced very affordably" 
E,storage[+],"with 40gb of storage i have about 7500 songs on the player ( everything music file i have is on there ) with room for about 2500 more" 
E,software[+],"the software interface supplied was very easy to use but i went ahead and got red chair 's " notmad " software because of some advanced features i wanted" 
E,sound[+]earbud[-],"the sound is great even with the supplied earbuds -- but i find earbuds uncomfortable so i use different headphones" 
E,sound setting[+],"sound settings can be adjusted for personal preference" 
E,accessing file[+],"accessing files by artist and album ( i mostly look things up by artist ) is easy and intuitive" 
E,battery[+],"possibly the biggest advantage this player has ( if price was n't enough ) is the fact that the user can replace the battery him / herself by opening the lid and popping in the new battery" 
E,battery[+],"since batteries do run out on everything  this will also be a big money-saver since ipods  irivers  rca  dell  all have built-in batteries that need to be replaced by a technician ( apple charges 100 bones for the battery replacement )" 
E,value[+]use[+],"try before you buy if at all possible , although i am a mac addict now for over a decade and everyone i know has previously bought an ipod  the nomad zen xtra was a far better value and is just as easy to use with regards to both hardware and software interface" 
E,color[+],"i like the nomad 's color better  but it 's not terribly flashy" 
E,player[+][p],"i have had mine for a month now and have to say i have enjoyed it" 
E,price[+],"price ! 
E,sound quality[+]volume[+],"sound quality is wonderful  i really like the smart volume sound normalization" 
E,earphone[-],"yes the included earphones suck but everyone replaces them anyway" 
E,interface[+],"i quickly got to use to the interface and can find any song / playlist etc fast enough" 
E,playlist[+],"i also liked the fact that you can save custom playlist you made on the player not just the computer ! 
E,software[-],"creative software stinks" 
E,cover[-],"the front cover can pop off easily but i always have mine in the case so i did n't notice after first day" 
E,player[+],"have had the player since xmass and love it ! 
E,sound[+]battery life[+]battery[+]storage[+]screen[+] firmware[+]price[+],"great sound  very long battery life ( i routinely play it for 12 + hours )  very fast recharges rate  removable battery  storage size  nice screen  firmware updates  and great price" 
E,warranty[-]freeze up[-]navigation wheel[-],"short warranty ( 3 months  so i got the extended warranty at best buy )  occasional freeze up ( easily fixed by popping out battery )  somewhat flimsy navigation wheel" 
